rank,Freq
1355,394649
1356,394641
1357,394225
1358,394195
1359,393483
1360,393168
1361,393124
1362,392637
1363,392487
1364,392428
1365,392195
1366,391935
1367,391935
1368,391757
1369,391667
1370,391360
1371,391026
1372,390924
1373,390524
1374,390008
1375,389097
1376,388890
1377,388543
1378,388403
1379,388092
1380,388007
1381,387165
1382,386864
1383,386417
1384,385844
1385,385765
1386,385655
1387,385293
1388,385166
1389,384669
1390,384377
1391,384221
1392,383415
1393,383083
1394,382821
1395,382642
1396,382485
1397,382453
1398,382096
1399,382085
1400,382081
1401,381946
1402,381367
1403,380043
1404,379800
1405,379739
1406,379348
1407,378608
1408,378481
1409,378288
1410,378107
1411,377989
1412,377964
1413,377782
1414,376348
1415,375965
1416,375501
1417,375279
1418,375182
1419,374838
1420,374816
1421,374769
1422,374638
1423,374517
1424,374473
1425,374421
1426,374352
1427,374177
1428,374027
1429,373702
1430,372710
1431,372649
1432,372592
1433,372362
1434,372041
1435,371922
1436,371518
1437,371499
1438,371411
1439,371054
1440,370745
1441,370732
1442,370270
1443,370129
1444,369595
1445,369568
1446,368947
1447,368876
1448,368819
1449,368368
1450,368100
1451,367513
1452,367420
1453,367327
1454,367240
1455,367222
1456,366805
1457,366449
1458,366211
1459,365589
1460,365509
1461,364817
1462,364812
1463,364607
1464,364593
1465,364554
1466,363682
1467,363199
1468,362825
1469,362813
1470,362676
1471,362407
1472,362382
1473,362298
1474,362161
1475,361804
1476,361169
1477,361112
1478,359287
1479,359102
1480,359050
1481,358911
1482,358541
1483,358427
1484,358423
1485,358310
1486,358199
1487,357530
1488,357436
1489,357212
1490,357120
1491,356308
1492,356299
1493,356237
1494,356220
1495,356215
1496,355889
1497,355776
1498,355351
1499,355328
1500,355160
1501,354999
1502,354599
1503,354080
1504,353609
1505,353290
1506,353266
1507,352748
1508,352169
1509,351864
1510,351508
1511,351125
1512,351024
1513,350873
1514,350800
1515,350676
1516,350258
1517,349786
1518,349759
1519,349755
1520,349636
1521,349375
1522,349313
1523,349255
1524,349167
1525,349165
1526,348820
1527,348750
1528,348680
1529,348666
1530,348661
1531,348313
1532,348165
1533,348090
1534,347915
1535,347805
1536,347630
1537,347502
1538,347486
1539,347444
1540,347060
1541,346693
1542,346557
1543,346184
1544,345855
1545,345830
1546,345552
1547,345514
1548,345387
1549,344796
1550,344569
1551,344487
1552,344020
1553,343982
1554,343210
1555,343127
1556,343103
1557,342978
1558,342743
1559,341704
1560,341690
1561,341650
1562,341364
1563,341072
1564,340940
1565,340851
1566,340717
1567,340262
1568,340199
1569,340179
1570,340027
1571,339479
1572,339408
1573,339404
1574,339313
1575,339289
1576,338813
1577,338529
1578,338222
1579,338122
1580,337987
1581,337934
1582,337517
1583,337381
1584,337160
1585,336900
1586,336720
1587,336695
1588,336382
1589,335587
1590,335404
1591,335217
1592,335048
1593,334870
1594,334811
1595,334747
1596,334709
1597,334549
1598,334518
1599,334299
1600,333379
1601,333320
1602,333211
1603,333208
1604,333158
1605,332571
1606,332499
1607,332205
1608,332136
1609,331880
1610,331549
1611,331339
1612,331323
1613,330871
1614,330685
1615,330557
1616,330051
1617,330012
1618,329691
1619,329657
1620,329495
1621,329483
1622,329466
1623,329408
1624,329152
1625,328932
1626,328721
1627,328393
1628,327950
1629,327496
1630,327081
1631,326994
1632,326698
1633,326675
1634,326561
1635,326537
1636,326536
1637,326120
1638,326074
1639,325925
1640,325284
1641,325125
1642,324903
1643,324794
1644,324791
1645,324722
1646,324466
1647,324335
1648,324302
1649,323727
1650,323253
1651,323205
1652,323163
1653,323058
1654,322906
1655,322243
1656,322228
1657,322155
1658,321920
1659,321763
1660,321175
1661,320853
1662,320608
1663,320213
1664,320169
1665,319883
1666,319717
1667,318588
1668,318239
1669,318062
1670,318031
1671,317905
1672,317708
1673,317683
1674,317599
1675,317507
1676,317251
1677,317248
1678,316928
1679,316294
1680,316274
1681,316236
1682,316147
1683,316047
1684,315204
1685,315095
1686,315070
1687,314584
1688,314566
1689,314289
1690,314156
1691,313739
1692,313690
1693,313210
1694,312920
1695,311664
1696,311008
1697,310979
1698,310422
1699,310369
1700,310367
1701,310364
1702,310051
1703,309634
1704,309275
1705,309172
1706,308903
1707,308554
1708,307963
1709,307703
1710,307482
1711,307397
1712,306796
1713,306716
1714,306657
1715,306596
1716,306107
1717,305335
1718,303891
1719,302908
1720,302743
1721,300991
1722,300568
